stimuli,is_train,pitch,semitone,silent,time,cluster,label,rle_cluster,rle_label,phoneme,collapsed_pitches,speaker
0,etsuto-HLL-3.wav,True,150.71953994810374,5.832664936468937,False,0,0,H,0,H1,etsuto,HLL,3.wav
1,etsuto-HLL-3.wav,True,148.53361996219596,5.579741530857135,False,1,0,H,0,H1,etsuto,HLL,3.wav
2,etsuto-HLL-3.wav,True,147.26939887446696,5.431759544240799,False,2,0,H,0,H1,etsuto,HLL,3.wav
3,etsuto-HLL-3.wav,True,147.51648321939928,5.460781350039247,False,3,0,H,0,H1,etsuto,HLL,3.wav
4,etsuto-HLL-3.wav,True,150.05255657447287,5.755882134291079,False,4,0,H,0,H1,etsuto,HLL,3.wav
5,etsuto-HLL-3.wav,True,150.6299023565809,5.822365686939178,False,5,0,H,0,H1,etsuto,HLL,3.wav
6,etsuto-HLL-3.wav,True,149.47684088758945,5.689331082171021,False,6,0,H,0,H1,etsuto,HLL,3.wav
7,etsuto-HLL-3.wav,True,148.03329548816285,5.521327760361369,False,7,0,H,0,H1,etsuto,HLL,3.wav
8,etsuto-HLL-3.wav,True,148.9017159590861,5.622591896736108,False,8,0,H,0,H1,etsuto,HLL,3.wav
9,etsuto-HLL-3.wav,True,148.14579273257104,5.534479199950273,False,9,0,H,0,H1,etsuto,HLL,3.wav
10,etsuto-HLL-3.wav,True,148.792817460132,5.609925974018249,False,10,0,H,0,H1,etsuto,HLL,3.wav
11,etsuto-HLL-3.wav,True,148.90373182557835,5.622826273691653,False,11,0,H,0,H1,etsuto,HLL,3.wav
12,etsuto-HLL-3.wav,True,149.06691182389997,5.641788060933684,False,12,0,H,0,H1,etsuto,HLL,3.wav
13,etsuto-HLL-3.wav,True,149.96709104681355,5.746018724565705,False,13,0,H,0,H1,etsuto,HLL,3.wav
14,etsuto-HLL-3.wav,True,,,True,14,0,H,0,H1,etsuto,HLL,3.wav
15,etsuto-HLL-3.wav,True,,,True,15,0,H,0,H1,etsuto,HLL,3.wav
16,etsuto-HLL-3.wav,True,,,True,16,0,H,0,H1,etsuto,HLL,3.wav
17,etsuto-HLL-3.wav,True,,,True,17,0,H,0,H1,etsuto,HLL,3.wav
18,etsuto-HLL-3.wav,True,,,True,18,1,L,1,L2,etsuto,HLL,3.wav
19,etsuto-HLL-3.wav,True,,,True,19,1,L,1,L2,etsuto,HLL,3.wav
20,etsuto-HLL-3.wav,True,,,True,20,1,L,1,L2,etsuto,HLL,3.wav
21,etsuto-HLL-3.wav,True,119.29007028666413,1.783954835313203,False,21,1,L,1,L2,etsuto,HLL,3.wav
22,etsuto-HLL-3.wav,True,110.89063798206871,0.5199181808154345,False,22,1,L,1,L2,etsuto,HLL,3.wav
23,etsuto-HLL-3.wav,True,104.32919850698622,-0.5360169010879505,False,23,1,L,1,L2,etsuto,HLL,3.wav
24,etsuto-HLL-3.wav,True,100.06854097088615,-1.2578706791311856,False,24,1,L,1,L2,etsuto,HLL,3.wav
25,etsuto-HLL-3.wav,True,97.27340582457241,-1.7483246197484155,False,25,1,L,1,L2,etsuto,HLL,3.wav
26,etsuto-HLL-3.wav,True,,,True,26,1,L,1,L2,etsuto,HLL,3.wav
27,etsuto-HLL-3.wav,True,,,True,27,1,L,1,L2,etsuto,HLL,3.wav
28,etsuto-HLL-3.wav,True,,,True,28,1,L,1,L2,etsuto,HLL,3.wav
29,etsuto-HLL-3.wav,True,,,True,29,1,L,1,L2,etsuto,HLL,3.wav
30,etsuto-HLL-3.wav,True,,,True,30,1,L,1,L2,etsuto,HLL,3.wav
31,etsuto-HLL-3.wav,True,,,True,31,1,L,1,L2,etsuto,HLL,3.wav
