,tokyo_pref,subj_id,stimulus,phoneme,pitch,speaker,use_semitone,use_duration,use_transition,use_pi,tokyo_kinki_ratio,n_success,pred
0,1,0,esko-H_L-1,esko,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,0,esko-H_L-2,esko,H_L,2,True,True,True,True,-1.0,True,H1L2
0,1,0,esko-H_L-3,esko,H_L,3,True,True,True,True,-1.0,True,H1L2
0,0,0,esko-L_H-1,esko,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,0,esko-L_H-2,esko,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,0,esko-L_H-3,esko,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,0,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,0,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-1.0,True,H1L2
0,-1,0,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-1.0,True,H2L1
0,0,0,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,0,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,0,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,1,esko-H_L-1,esko,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,1,esko-H_L-2,esko,H_L,2,True,True,True,True,-1.0,True,H1L2
0,1,1,esko-H_L-3,esko,H_L,3,True,True,True,True,-1.0,True,H1L2
0,0,1,esko-L_H-1,esko,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,1,esko-L_H-2,esko,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,1,esko-L_H-3,esko,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,1,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,1,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-1.0,True,H1L2
0,-1,1,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-1.0,True,H2L1
0,0,1,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,1,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,1,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,2,esko-H_L-1,esko,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,2,esko-H_L-2,esko,H_L,2,True,True,True,True,-1.0,True,H1L2
0,1,2,esko-H_L-3,esko,H_L,3,True,True,True,True,-1.0,True,H1L2
0,0,2,esko-L_H-1,esko,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,2,esko-L_H-2,esko,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,2,esko-L_H-3,esko,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,2,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,2,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-1.0,True,H1L2
0,-1,2,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-1.0,True,H2L1
0,0,2,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,2,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,2,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,3,esko-H_L-1,esko,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,3,esko-H_L-2,esko,H_L,2,True,True,True,True,-1.0,True,H1L2
0,1,3,esko-H_L-3,esko,H_L,3,True,True,True,True,-1.0,True,H1L2
0,0,3,esko-L_H-1,esko,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,3,esko-L_H-2,esko,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,3,esko-L_H-3,esko,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,3,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,3,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-1.0,True,H1L2
0,-1,3,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-1.0,True,H2L1
0,0,3,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,3,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,3,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-1.0,False,L2H1L2
0,1,4,esko-H_L-1,esko,H_L,1,True,True,True,True,-1.0,True,H1L2
0,1,4,esko-H_L-2,esko,H_L,2,True,True,True,True,-1.0,True,H1L2
0,1,4,esko-H_L-3,esko,H_L,3,True,True,True,True,-1.0,True,H1L2
0,0,4,esko-L_H-1,esko,L_H,1,True,True,True,True,-1.0,False,L1H1L2
0,-1,4,esko-L_H-2,esko,L_H,2,True,True,True,True,-1.0,True,L2H1
0,0,4,esko-L_H-3,esko,L_H,3,True,True,True,True,-1.0,False,L2H1L2
